tool,rule_id,message,level,file,start_line,cwe,component_name,component_version,match_how
Semgrep OSS,php.lang.security.tainted-exec.tainted-exec,Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/impossible.php,22,CWE-94: Improper Control of Generation of Code ('Code Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-exec.tainted-exec,User input is passed to a function that executes a shell command. This can lead to remote code execution.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/impossible.php,26,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.tainted-exec.tainted-exec,Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/impossible.php,26,CWE-94: Improper Control of Generation of Code ('Code Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-exec.tainted-exec,User input is passed to a function that executes a shell command. This can lead to remote code execution.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/low.php,10,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.tainted-exec.tainted-exec,Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/low.php,10,CWE-94: Improper Control of Generation of Code ('Code Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-exec.tainted-exec,User input is passed to a function that executes a shell command. This can lead to remote code execution.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/low.php,14,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.tainted-exec.tainted-exec,Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/low.php,14,CWE-94: Improper Control of Generation of Code ('Code Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-exec.tainted-exec,User input is passed to a function that executes a shell command. This can lead to remote code execution.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/medium.php,19,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.tainted-exec.tainted-exec,Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/medium.php,19,CWE-94: Improper Control of Generation of Code ('Code Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-exec.tainted-exec,User input is passed to a function that executes a shell command. This can lead to remote code execution.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/medium.php,23,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.tainted-exec.tainted-exec,Executing non-constant commands. This can lead to command injection. You should use `escapeshellarg()` when using command.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/exec/source/medium.php,23,CWE-94: Improper Control of Generation of Code ('Code Injection');MEDIUM CONFIDENCE;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-filename.tainted-filename,File name based on user input risks server-side request forgery.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/fi/source/high.php,7,CWE-918: Server-Side Request Forgery (SSRF);MEDIUM CONFIDENCE;OWASP-A10:2021 - Server-Side Request Forgery (SSRF);security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-sql-string.tainted-sql-string,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare(""INSERT INTO test(id, label) VALUES (?, ?)"");`) or a safe library.",warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/sqli/source/low.php,10,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection');MEDIUM CONFIDENCE;OWASP-A01:2017 - Injection;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-sql-string.tainted-sql-string,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare(""INSERT INTO test(id, label) VALUES (?, ?)"");`) or a safe library.",warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/sqli/source/low.php,31,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection');MEDIUM CONFIDENCE;OWASP-A01:2017 - Injection;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-sql-string.tainted-sql-string,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare(""INSERT INTO test(id, label) VALUES (?, ?)"");`) or a safe library.",warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/sqli_blind/source/high.php,11,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection');MEDIUM CONFIDENCE;OWASP-A01:2017 - Injection;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-sql-string.tainted-sql-string,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare(""INSERT INTO test(id, label) VALUES (?, ?)"");`) or a safe library.",warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/sqli_blind/source/high.php,33,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection');MEDIUM CONFIDENCE;OWASP-A01:2017 - Injection;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-sql-string.tainted-sql-string,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare(""INSERT INTO test(id, label) VALUES (?, ?)"");`) or a safe library.",warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/sqli_blind/source/low.php,11,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection');MEDIUM CONFIDENCE;OWASP-A01:2017 - Injection;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-sql-string.tainted-sql-string,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare(""INSERT INTO test(id, label) VALUES (?, ?)"");`) or a safe library.",warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/sqli_blind/source/low.php,32,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection');MEDIUM CONFIDENCE;OWASP-A01:2017 - Injection;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-sql-string.tainted-sql-string,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`$mysqli->prepare(""INSERT INTO test(id, label) VALUES (?, ?)"");`) or a safe library.",warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/sqli_blind/source/medium.php,34,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection');MEDIUM CONFIDENCE;OWASP-A01:2017 - Injection;OWASP-A03:2021 - Injection;security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-filename.tainted-filename,File name based on user input risks server-side request forgery.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/view_help.php,20,CWE-918: Server-Side Request Forgery (SSRF);MEDIUM CONFIDENCE;OWASP-A10:2021 - Server-Side Request Forgery (SSRF);security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-filename.tainted-filename,File name based on user input risks server-side request forgery.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/view_help.php,22,CWE-918: Server-Side Request Forgery (SSRF);MEDIUM CONFIDENCE;OWASP-A10:2021 - Server-Side Request Forgery (SSRF);security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-filename.tainted-filename,File name based on user input risks server-side request forgery.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/view_source.php,60,CWE-918: Server-Side Request Forgery (SSRF);MEDIUM CONFIDENCE;OWASP-A10:2021 - Server-Side Request Forgery (SSRF);security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-filename.tainted-filename,File name based on user input risks server-side request forgery.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/view_source.php,64,CWE-918: Server-Side Request Forgery (SSRF);MEDIUM CONFIDENCE;OWASP-A10:2021 - Server-Side Request Forgery (SSRF);security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-filename.tainted-filename,File name based on user input risks server-side request forgery.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/view_source.php,65,CWE-918: Server-Side Request Forgery (SSRF);MEDIUM CONFIDENCE;OWASP-A10:2021 - Server-Side Request Forgery (SSRF);security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-filename.tainted-filename,File name based on user input risks server-side request forgery.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/view_source_all.php,14,CWE-918: Server-Side Request Forgery (SSRF);MEDIUM CONFIDENCE;OWASP-A10:2021 - Server-Side Request Forgery (SSRF);security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-filename.tainted-filename,File name based on user input risks server-side request forgery.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/view_source_all.php,18,CWE-918: Server-Side Request Forgery (SSRF);MEDIUM CONFIDENCE;OWASP-A10:2021 - Server-Side Request Forgery (SSRF);security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-filename.tainted-filename,File name based on user input risks server-side request forgery.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/view_source_all.php,22,CWE-918: Server-Side Request Forgery (SSRF);MEDIUM CONFIDENCE;OWASP-A10:2021 - Server-Side Request Forgery (SSRF);security,php,1:7.0+49,path_match
Semgrep OSS,php.lang.security.injection.tainted-filename.tainted-filename,File name based on user input risks server-side request forgery.,warning,/home/vboxuser/Diplomas/dvwa-src/vulnerabilities/view_source_all.php,26,CWE-918: Server-Side Request Forgery (SSRF);MEDIUM CONFIDENCE;OWASP-A10:2021 - Server-Side Request Forgery (SSRF);security,php,1:7.0+49,path_match
